Year,Brand,Model,Mileage,Engine Size,Fuel Type,Transmission,Price
2017,1,7,183567,2.4,2,2,6815.98
2017,1,9,95340,3.7,2,2,22896.83
2009,2,1,247572,3.2,4,1,11398.36
2022,3,16,52325,2.6,1,1,23544.84
2004,5,14,6430,2.0,4,1,21668.54
2005,4,4,74959,3.8,3,2,15030.67
2004,2,1,5111,3.6,4,2,25137.54
2006,5,14,204877,5.8,4,1,16129.76
2007,4,6,256610,3.9,1,1,5000.0
2009,5,3,112334,4.2,2,2,20547.37
2017,2,20,246520,3.4,4,2,24632.54
2016,2,20,286434,1.6,3,1,21456.24
2003,4,4,111149,1.2,2,2,5000.0
2009,4,8,157824,4.6,4,1,8200.79
2021,1,9,289384,3.9,3,1,19581.88
2006,4,15,55172,1.8,4,2,12366.09
2018,5,14,95709,2.5,3,2,27774.43
2019,2,19,98181,5.3,3,1,39090.62
2007,4,6,47147,2.1,3,2,17459.82
2011,3,13,232307,2.6,4,1,8633.59
2023,3,11,272885,3.3,2,2,13156.32
2021,3,16,82952,4.2,2,2,22306.64
2014,3,11,200573,5.7,1,2,9981.15
2022,4,4,6903,4.9,1,2,33479.02
2008,5,10,16267,1.2,3,1,26440.52
2003,1,9,30658,2.0,3,1,7165.72
2022,5,3,40449,5.9,2,2,45500.94
2023,1,9,192352,1.7,2,1,18465.11
2014,3,13,150827,4.2,4,1,14193.67
2001,5,10,86744,2.2,1,1,5905.18
2018,2,20,3579,3.7,4,2,37372.22
2022,5,10,217990,5.0,3,2,33503.71
2000,4,8,294554,5.5,3,1,5000.0
2008,2,19,273749,1.9,3,2,16263.95
2002,4,4,47675,5.4,1,1,9425.29
2021,4,15,136305,4.9,1,1,22829.73
2018,2,19,14974,3.4,3,2,38060.57
2002,4,8,108406,1.7,2,1,5000.0
2011,2,20,6418,4.8,2,1,23070.5
2021,2,1,21413,3.2,4,2,38875.36
2000,4,4,229968,5.6,4,2,6282.67
2011,1,17,11192,5.2,3,1,24638.18
2000,2,2,63205,5.1,2,1,17592.28
2017,2,20,16151,2.4,4,2,33778.92
2001,3,12,46777,3.1,2,2,5000.0
2020,2,19,238700,3.3,2,1,26064.52
2016,2,2,31663,2.5,4,1,34131.12
2014,1,18,46865,5.1,2,1,19985.35
2021,1,7,75073,5.0,4,2,26822.06
2015,1,9,254919,4.8,1,2,14099.37
2004,2,2,47947,2.6,2,1,12676.09
2004,4,6,93941,2.8,1,1,5097.56
2016,5,14,32164,3.9,4,1,36287.07
2016,5,5,248343,4.5,1,1,15985.18
2016,3,16,167762,3.3,1,1,8244.28
2014,3,16,217405,4.2,3,2,11978.39
2018,5,10,200729,1.7,4,1,24904.85
2013,5,5,61277,3.7,2,1,24242.38
2011,2,20,89724,5.8,4,1,26574.88
2023,2,20,284850,4.3,3,2,26644.89
2006,1,18,136232,5.7,4,1,13349.5
2015,2,2,72884,1.7,4,2,30059.75
2005,5,10,190849,3.1,3,2,14753.57
2016,2,2,295304,1.6,2,2,18172.42
2002,4,6,289501,3.2,2,2,5000.0
2009,2,20,231994,2.7,2,2,8735.33
2004,2,1,120339,2.3,1,1,6552.35
2002,4,8,264403,1.6,2,1,5000.0
2020,4,4,264063,1.8,1,2,11904.14
2023,4,4,246446,4.8,1,1,16942.11
2016,5,5,254286,1.1,2,1,12140.06
2019,3,13,254080,3.0,4,2,15229.28
2015,1,7,27566,5.2,3,2,23942.71
2018,5,5,65854,1.6,2,2,26440.06
2021,5,14,245247,4.1,3,2,29769.92
